"","counter","AS","Type","GranularityValue","SeverityScore","PageRank","NumBadDep","TotalDep","NumberOfVerteces","NumOfCycle","NumSetOfElement","TotNumOfSetOfElement","ADI","project","version","arcan.version","commit.hash"
"59",12,235742,"cd",2,1,7.94664677687637,0,0,2,1,2,8,7,"outjabm",5,"13","cb482d6ba9ce1b806ded7253a2511c524976661a.csv"
"60",1,22300,"ud",2,2,7.76022618874417,2,0,0,0,3,9,5,"outjabm",6,"2","73429d4e2286551e0e692ea00d6db83dbbe981b2.csv"
"61",2,22309,"ud",2,4,4.5281703747449,1,0,0,0,2,9,5,"outjabm",6,"2","73429d4e2286551e0e692ea00d6db83dbbe981b2.csv"
"62",3,22318,"ud",2,5,10.0250969720295,2,0,0,0,3,9,5,"outjabm",6,"2","73429d4e2286551e0e692ea00d6db83dbbe981b2.csv"
"63",4,22330,"ud",2,3,5.08460255000687,1,0,0,0,2,9,5,"outjabm",6,"2","73429d4e2286551e0e692ea00d6db83dbbe981b2.csv"
"64",5,22342,"ud",2,1,10.386782650043,2,0,0,0,3,9,5,"outjabm",6,"2","73429d4e2286551e0e692ea00d6db83dbbe981b2.csv"
"65",6,22221,"cd",2,3,12.4168973853589,0,0,3,1,3,9,5,"outjabm",6,"2","73429d4e2286551e0e692ea00d6db83dbbe981b2.csv"
"66",7,22229,"cd",2,5,19.7840064473584,0,0,5,1,5,9,5,"outjabm",6,"2","73429d4e2286551e0e692ea00d6db83dbbe981b2.csv"
"67",8,22239,"cd",2,2,7.85316234358478,0,0,2,1,2,9,5,"outjabm",6,"2","73429d4e2286551e0e692ea00d6db83dbbe981b2.csv"
"68",9,22246,"cd",2,6,14.7747043234849,0,0,3,2,3,9,5,"outjabm",6,"2","73429d4e2286551e0e692ea00d6db83dbbe981b2.csv"
"69",10,22254,"cd",2,1,7.38616508511929,0,0,2,1,2,9,5,"outjabm",6,"2","73429d4e2286551e0e692ea00d6db83dbbe981b2.csv"
"70",11,22261,"cd",2,4,12.6616547056934,0,0,4,1,4,9,5,"outjabm",6,"2","73429d4e2286551e0e692ea00d6db83dbbe981b2.csv"
"71",1,40137,"ud",2,2,10.6216462041048,2,0,0,0,3,9,6,"outjabm",7,"3","f2c14a05de4320a856e58c0f4eae1fce9a4b9c0c.csv"
"72",2,40146,"ud",2,1,7.70602115889172,2,0,0,0,3,9,6,"outjabm",7,"3","f2c14a05de4320a856e58c0f4eae1fce9a4b9c0c.csv"
"73",3,40155,"ud",2,4,4.52418648623634,1,0,0,0,2,9,6,"outjabm",7,"3","f2c14a05de4320a856e58c0f4eae1fce9a4b9c0c.csv"
"74",4,40164,"ud",2,5,10.1757650666887,2,0,0,0,3,9,6,"outjabm",7,"3","f2c14a05de4320a856e58c0f4eae1fce9a4b9c0c.csv"
"75",5,40176,"ud",2,3,5.10931616114173,1,0,0,0,2,9,6,"outjabm",7,"3","f2c14a05de4320a856e58c0f4eae1fce9a4b9c0c.csv"
