"","counter","AS","Type","GranularityValue","SeverityScore","PageRank","NumBadDep","TotalDep","NumberOfVerteces","NumOfCycle","NumSetOfElement","TotNumOfSetOfElement","ADI","project","version","arcan.version","commit.hash"
"108",10,251492,"cd",1,8,1.0465697658482,0,0,2,3,2,47,13,"outmadkit",9,"17","dad0769eb2b209da09de8f35b7481e2623c6e357.csv"
"109",11,251499,"cd",2,9,23.6492139702454,0,0,2,5,2,47,13,"outmadkit",9,"17","dad0769eb2b209da09de8f35b7481e2623c6e357.csv"
"110",12,251506,"cd",2,7,31.2755896440873,0,0,2,3,2,47,13,"outmadkit",9,"17","dad0769eb2b209da09de8f35b7481e2623c6e357.csv"
"111",13,251513,"cd",2,1,19.9709660291605,0,0,2,1,2,47,13,"outmadkit",9,"17","dad0769eb2b209da09de8f35b7481e2623c6e357.csv"
"112",1,267517,"ud",2,2,16.5895408295076,1,0,0,0,2,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"113",2,267526,"ud",2,1,20.6249638097224,3,0,0,0,4,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"114",3,267490,"hl",2,1,55.4079281480719,0,19,0,0,17,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"115",4,267302,"cd",1,13,1.61110506839903,0,0,2,6,2,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"116",5,267309,"cd",1,9,1.70247508368946,0,0,3,1,3,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"117",6,267317,"cd",1,8,1.93151193088441,0,0,3,1,3,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"118",7,267325,"cd",1,5,1.11891713152931,0,0,2,1,2,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"119",8,267332,"cd",1,4,1.36962035188073,0,0,2,1,2,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"120",9,267339,"cd",1,7,1.57582637533263,0,0,3,1,3,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"121",10,267347,"cd",1,10,2.20416702220633,0,0,4,1,4,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"122",11,267356,"cd",1,3,1.20518652282911,0,0,2,1,2,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"123",12,267363,"cd",1,12,1.14292289388553,0,0,2,3,2,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"124",13,267370,"cd",1,2,1.13211817700926,0,0,2,1,2,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"125",14,267377,"cd",2,6,22.3675270526265,0,0,3,1,3,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"126",15,267385,"cd",2,11,28.4137970149438,0,0,2,3,2,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"127",16,267392,"cd",2,1,18.6203660544146,0,0,2,1,2,27,11,"outmadkit",10,"18","cc645215af9738fdd1c72fabf3698f274c06c9b2.csv"
"128",1,283795,"ud",2,1,21.9447352388874,3,0,0,0,4,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"129",2,283804,"ud",2,2,17.5463941447206,1,0,0,0,2,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"130",3,283767,"hl",2,1,59.0698125380001,0,20,0,0,17,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"131",4,283651,"cd",2,9,24.6531312868745,0,0,3,1,3,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"132",5,283659,"cd",2,14,30.4747126226969,0,0,2,3,2,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"133",6,283666,"cd",2,6,17.3276505634166,0,0,2,1,2,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"134",7,283565,"cd",1,8,1.95205414565474,0,0,3,1,3,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"135",8,283573,"cd",1,11,2.12143334640241,0,0,4,1,4,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"136",9,283582,"cd",1,5,1.26974849652618,0,0,2,1,2,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"137",10,283589,"cd",1,12,2.77888005961192,0,0,5,1,5,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"138",11,283599,"cd",1,4,1.51949900998729,0,0,2,1,2,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"139",12,283606,"cd",1,10,2.27595004999767,0,0,4,1,4,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"140",13,283615,"cd",1,7,1.66303109895148,0,0,3,1,3,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"141",14,283623,"cd",1,3,1.20974106948093,0,0,2,1,2,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"142",15,283630,"cd",1,2,1.12375871220809,0,0,2,1,2,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"143",16,283637,"cd",1,13,1.13465089052561,0,0,2,3,2,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"144",17,283644,"cd",2,1,19.6455599725728,0,0,2,1,2,27,10,"outmadkit",11,"19","18c7f484924567385801623eda863a1ac85d30ac.csv"
"145",1,10328,"ud",2,1,16.5059270334933,1,0,0,0,2,48,11,"outmadkit",12,"2","5d1a7b1c1c566fbd5830df1047ed68d5cc72f5d2.csv"
"146",2,10337,"ud",2,2,15.3368361301103,1,0,0,0,2,48,11,"outmadkit",12,"2","5d1a7b1c1c566fbd5830df1047ed68d5cc72f5d2.csv"
"147",3,10265,"hl",1,2,7.79738312157476,0,28,0,0,27,48,11,"outmadkit",12,"2","5d1a7b1c1c566fbd5830df1047ed68d5cc72f5d2.csv"
"148",4,10301,"hl",2,1,47.9495430131457,0,19,0,0,18,48,11,"outmadkit",12,"2","5d1a7b1c1c566fbd5830df1047ed68d5cc72f5d2.csv"
"149",5,10131,"cd",1,5,1.24995983704455,0,0,2,2,2,48,11,"outmadkit",12,"2","5d1a7b1c1c566fbd5830df1047ed68d5cc72f5d2.csv"
"150",6,10138,"cd",1,6,1.27186814971292,0,0,3,2,3,48,11,"outmadkit",12,"2","5d1a7b1c1c566fbd5830df1047ed68d5cc72f5d2.csv"
"151",7,10146,"cd",1,3,2.64036554028771,0,0,5,1,5,48,11,"outmadkit",12,"2","5d1a7b1c1c566fbd5830df1047ed68d5cc72f5d2.csv"
"152",8,10156,"cd",1,2,1.26069021476698,0,0,2,1,2,48,11,"outmadkit",12,"2","5d1a7b1c1c566fbd5830df1047ed68d5cc72f5d2.csv"
"153",9,10163,"cd",1,4,0.961715754260754,0,0,2,2,2,48,11,"outmadkit",12,"2","5d1a7b1c1c566fbd5830df1047ed68d5cc72f5d2.csv"
"154",10,10170,"cd",1,1,1.03396575426075,0,0,2,1,2,48,11,"outmadkit",12,"2","5d1a7b1c1c566fbd5830df1047ed68d5cc72f5d2.csv"
"155",11,10177,"cd",2,8,18.7462509262153,0,0,2,5,2,48,11,"outmadkit",12,"2","5d1a7b1c1c566fbd5830df1047ed68d5cc72f5d2.csv"
"156",12,10184,"cd",2,7,28.4333483674986,0,0,2,4,2,48,11,"outmadkit",12,"2","5d1a7b1c1c566fbd5830df1047ed68d5cc72f5d2.csv"
"157",1,301003,"ud",2,2,17.9777141150182,1,0,0,0,2,26,12,"outmadkit",13,"20","2ca2582fd9473145ed1b16bcb9e0ef9e1aeb5a02.csv"
"158",2,301012,"ud",2,1,22.7388200686353,3,0,0,0,4,26,12,"outmadkit",13,"20","2ca2582fd9473145ed1b16bcb9e0ef9e1aeb5a02.csv"
"159",3,300974,"hl",2,1,65.1758445366014,0,21,0,0,18,26,12,"outmadkit",13,"20","2ca2582fd9473145ed1b16bcb9e0ef9e1aeb5a02.csv"
"160",4,300766,"cd",1,13,1.88423619011779,0,0,2,7,2,26,12,"outmadkit",13,"20","2ca2582fd9473145ed1b16bcb9e0ef9e1aeb5a02.csv"
"161",5,300773,"cd",1,8,2.23895039653397,0,0,3,1,3,26,12,"outmadkit",13,"20","2ca2582fd9473145ed1b16bcb9e0ef9e1aeb5a02.csv"
"162",6,300781,"cd",1,6,1.62740267297665,0,0,2,1,2,26,12,"outmadkit",13,"20","2ca2582fd9473145ed1b16bcb9e0ef9e1aeb5a02.csv"
"163",7,300788,"cd",1,5,1.3537381928805,0,0,2,1,2,26,12,"outmadkit",13,"20","2ca2582fd9473145ed1b16bcb9e0ef9e1aeb5a02.csv"
"164",8,300795,"cd",1,7,1.57663140597171,0,0,3,1,3,26,12,"outmadkit",13,"20","2ca2582fd9473145ed1b16bcb9e0ef9e1aeb5a02.csv"
"165",9,300803,"cd",1,9,2.18817912952903,0,0,4,1,4,26,12,"outmadkit",13,"20","2ca2582fd9473145ed1b16bcb9e0ef9e1aeb5a02.csv"
"166",10,300812,"cd",1,4,1.20553617131012,0,0,2,1,2,26,12,"outmadkit",13,"20","2ca2582fd9473145ed1b16bcb9e0ef9e1aeb5a02.csv"
"167",11,300819,"cd",1,11,1.12614648460989,0,0,2,3,2,26,12,"outmadkit",13,"20","2ca2582fd9473145ed1b16bcb9e0ef9e1aeb5a02.csv"
"168",12,300826,"cd",1,3,1.11526083064087,0,0,2,1,2,26,12,"outmadkit",13,"20","2ca2582fd9473145ed1b16bcb9e0ef9e1aeb5a02.csv"
"169",13,300833,"cd",2,12,22.1404330075521,0,0,2,5,2,26,12,"outmadkit",13,"20","2ca2582fd9473145ed1b16bcb9e0ef9e1aeb5a02.csv"
"170",14,300847,"cd",2,10,33.0838202065609,0,0,3,2,3,26,12,"outmadkit",13,"20","2ca2582fd9473145ed1b16bcb9e0ef9e1aeb5a02.csv"
